Deal Type,Announce Date,Target Name,Acquirer Name,Announced Total Value (mil.),Deal Status,Target Industry Sector,Acquirer Industry Sector,Target Sales/Revenue/Turnover,Acquirer Sales/Revenue/Turnover,Target Total Assets,Acquirer Total Assets
"M&A",2008/12/11,"DCD-Dorbyl Pty Ltd","Investec PLC,Siyahamba Engineering Pty Ltd",192.00,"Completed","Industrials","Financials, Industrials",,,,
"M&A",2004/5/24,"Sipan 1 Pty Ltd","iFour Properties Ltd",128.30,"Completed","Real Estate","Real Estate",,360.516,,2938.82
"M&A",2007/8/20,"Premium Ideas Pty Ltd","Morvest Group Ltd",142.42,"Completed","Industrials","Technology",,1100.76,,643.895
"INV",2007/8/21,"Isegen","Nedbank Group Ltd,Imbewu Capital Partners",141.00,"Completed","Materials","Financials, Financials",,,,
"M&A",2001/2/15,"Consolidated News Agencies Holdings Pty Ltd","Gordon Kay & Associates Pty Ltd",150.00,"Completed","Consumer Discretionary","N.A.",,,,
"M&A",2009/6/15,"Cura Risk Management Software Pty Ltd","Cura Technologies Ltd",153.85,"Completed","Technology","Technology",,1.64272,,41.6755
"AST",2004/12/13,"Information technology businesses","Gijima Group Ltd",109.00,"Completed","N.A.","Communications",,1518.64,,777.542
"AST",2007/6/28,"Wedge/The","CBS Property Portfolio Ltd",134.18,"Completed","N.A.","Industrials",,171.126,,2013.13
"M&A",2011/4/21,"International Diamond Consultants Ltd","Paragon Diamonds Ltd",126.79,"Completed","Materials","Materials",,,,609.705
"INV",2011/3/16,"GEW Technologies Pty Ltd","Airbus SE",133.74,"Completed","Industrials","Industrials",,1.48216e+06,,2.62361e+06
"INV",2022/2/16,"Tharisa Minerals Pty Ltd","Tharisa PLC",283.75,"Completed","Materials","Materials",,12120.8,,21373.8
"M&A",2017/11/28,"Kyron Laboratories Pty Ltd","Ascendis Health Ltd",256.90,"Completed","Health Care","Health Care",,,,777.442
"AST",2001/7/27,"6 commercial units","Atlas Properties Ltd",154.53,"Completed","N.A.","Real Estate",,624.298,,1391.51
"AST",2007/2/21,"Witbank Coal project","Firestone Energy Ltd",133.50,"Completed","N.A.","Materials",,,,
"M&A",2007/1/25,"Smokey Hills Platinum Pty Ltd","Platinum Australia Ltd",135.62,"Completed","Materials","Materials",,,,2000.86
"M&A",2015/7/31,"Waterlinx Pty Ltd","Fluidra SA",237.03,"Completed","Consumer Discretionary","Industrials",,44083.4,,66385.9
"M&A",2000/5/22,"Acumen Holdings Ltd","Adcorp Holdings Ltd",133.26,"Completed","Consumer Discretionary","Industrials",91.844,12458,90.174,3026.54
"AST",2013/6/6,"Property and letting enterprise/Bellville","Delta Property Fund Ltd",185.00,"Completed","N.A.","Real Estate",,1166.6,,6476.37
"INV",2011/3/7,"Bushveld Resources Pty Ltd","Woodbois Ltd",128.19,"Completed","Materials","Materials",,146.552,,3975.94
"AST",2013/7/29,"McCarthy/Unitrans Property Portfolio","Annuity Properties Pty Ltd",181.75,"Completed","Real Estate","Real Estate",,229.584,,1940.51
"INV",2024/4/8,"Procera Group Pty Ltd","Vantage Capital Pty Ltd",346.00,"Completed","Technology","Financials",,,,
"M&A",2016/8/25,"Black Chrome Holdings Pty Ltd,Sail Minerals Pty Ltd","Sail Mining Group Ltd",263.33,"Completed","Materials, Materials","Materials",,1422.78,,1601.42
"AST",2012/6/22,"2 Properties/Johannesburg","Vividend Income Fund Ltd",155.60,"Completed","N.A.","Financials",,198.702,,2276.2
"AST",2005/9/1,"Vessel Solar Oceania","Pacific Basin Shipping Ltd",116.64,"Completed","N.A.","Industrials",,37207.8,,37746.5
"M&A",2005/11/28,"Plessey Pty Ltd","Dimension Data Holdings PLC",120.00,"Completed","Communications","Technology",,54282.7,,36905.8
"M&A",2014/10/28,"AspiviaUnison","Adapt IT Pty Ltd",200.00,"Completed","Technology","Technology",,,,
"M&A",2000/6/8,"Vanadium & Magnetite Exploration & Development Pty Ltd","Iron Eagle Group Inc",129.52,"Completed","Materials","Industrials",,,,5.98802
"AST",2013/9/5,"Q Link business unit","Summit Garnishee Solutions Pty Ltd",187.50,"Completed","N.A.","N.A.",,,,
"M&A",2000/3/30,"JR 145 Investments Ltd","President Steyn Gold Mines Ltd",120.00,"Completed","N.A.","Materials",,48.145,,
"INV",2016/11/17,"GPI Slots Proprietary Ltd","Sun International Ltd/South Africa",262.10,"Completed","Consumer Discretionary","Consumer Discretionary",,12979,,13642
"M&A",2007/2/7,"Malan Quarries Pty Ltd,Olympic Sand Pty Ltd,Propateez 66 Pty Ltd,Malric Properties Ltd,Brickrush Pty Ltd,Melani Materials Pty Ltd,Jeffreys Bay Crushers CC,Denver Quarries Pty Ltd","Afrimat Ltd",130.59,"Completed","Materials, Materials, Materials, Materials, Materials, Materials, Materials, Materials","Materials",,10009,,9900.95
"M&A",2006/11/30,"Micro Access Financial Services Ltd","Blue Financial Services Ltd",129.93,"Completed","Financials","Financials",,553.082,,1426.64
"M&A",2014/10/31,"Aspivia Pty Ltd","AdaptIT Holdings Ltd",200.00,"Completed","Technology","Technology",,1571.77,,1714.33
"INV",2014/9/25,"Country Bird Holdings Ltd","Proterra Investment Partners LP",202.85,"Completed","Consumer Staples","Financials",3586.38,,1841.06,
"INV",2010/3/11,"Lesego Platinum Mining Ltd","Village Main Reef Ltd",133.49,"Completed","Materials","Materials",,1480.08,,2326.38
"AST",2004/3/24,"Century City Property business","Rabie Investment Hldgs Ltd",118.00,"Completed","Real Estate","N.A.",,,,
"M&A",2006/6/19,"Little Swift Investments 36 Pty Ltd","Kagiso Media Ltd",125.00,"Completed","Financials","Communications",,1335.95,,1826.15
"M&A",2017/11/23,"Buildmax Ltd","Business Venture Investments No 2021",248.68,"Completed","Materials","Financials",910.462,,534.318,
"M&A",2008/6/13,"Springlake Holdings Pty Ltd","Shanduka Coal Pty Ltd",145.00,"Completed","Materials","Materials",,,,
"M&A",2007/5/4,"Sky Sands Pty Ltd","Group Five Ltd/South Africa",124.00,"Completed","Industrials","Industrials",,7348.46,,6416.26
"M&A",2008/10/23,"Continental Coal Ltd SA","Continental Coal Ltd",200.12,"Completed","Materials","Materials",,,,609.755
"AST",2013/10/24,"Bryanston Gate Property","Texton Property Fund Ltd",174.00,"Completed","N.A.","Real Estate",,278.371,,2473.35
"AST",2006/5/25,"Ridge/The","Oasis Crescent Property Fund Pty Ltd",117.00,"Completed","N.A.","N.A.",,145.551,,1876.28
"M&A",2001/10/4,"Barloworld Logistics Pty Ltd","Barloworld Ltd",165.00,"Completed","Industrials","Industrials",,37711,,44307
"M&A",2008/2/29,"TPS Architects Proprietary Ltd","TWP Holdings Ltd",138.00,"Completed","Industrials","Materials",,,,
"M&A",2002/8/8,"Boxer Holdings Pty Ltd","Pick n Pay Stores Ltd",185.00,"Completed","Consumer Staples","Consumer Staples",,120290,,45497
"M&A",2000/4/25,"Holding Co of PSGM Ltd","President Steyn Gold Mines Ltd",119.20,"Completed","N.A.","Materials",,48.145,,
"M&A",2010/6/25,"JHI","Excellerate Holdings Ltd",135.00,"Completed","Real Estate","Consumer Staples",,792.052,,636.692
"AST",2005/7/20,"Barloworld Ltd logistics business","Investor Group",118.00,"Completed","N.A.","N.A.",,,,
"AST",2005/10/27,"East Rand Value Mall","Acucap Properties Ltd",118.50,"Completed","Real Estate","Real Estate",,679.829,,12572.8
